T_FD[K],N_FD
3.69597275742852e-5,9577673.31070849
3.69497923856779e-5,9577327.08022098
3.69398634724033e-5,9576981.00078577
3.69299408142797e-5,9576635.07174523
3.69200243917551e-5,9576289.29246531
3.69101141847276e-5,9575943.66229022
3.69002101737246e-5,9575598.18058778
3.68903123387238e-5,9575252.84670405
3.68804206603313e-5,9574907.66000865
3.68705351186044e-5,9574562.61984952
3.68606556942276e-5,9574217.7255981
3.68507823679242e-5,9573872.97662677
3.68409151198695e-5,9573528.37228617
3.68310539314509e-5,9573183.91197308
3.68211987829213e-5,9572839.59503996
3.68113496557443e-5,9572495.42088534
3.68015065302501e-5,9572151.38886351
3.67916693879781e-5,9571807.49837473
3.67818382093354e-5,9571463.7487751
3.67720129759369e-5,9571120.13946666
3.67621936688503e-5,9570776.66982979
3.67523802697647e-5,9570433.33926826
3.67425727598226e-5,9570090.1471642
3.6732771120787e-5,9569747.0929231
3.67229753332922e-5,9569404.17590635
3.67131853797581e-5,9569061.39554366
3.67034012414757e-5,9568718.75122062
